date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-10-06,25.8,26.238,25.36,25.68,3.66856776,903600,0.0,1.0
2005-10-05,26.72,26.75,25.87,25.99,3.71285343,1533300,0.0,1.0
2005-10-04,27.06,27.94,26.87,26.99,3.85571043,2122500,0.0,1.0
2005-10-03,25.98,26.77,25.95,26.64,3.80571048,1308000,0.0,1.0
2005-09-30,24.58,26.65,24.41,25.99,3.71285343,3568500,0.0,1.0
2005-09-29,24.67,24.94,24.33,24.4,3.4857108,1400500,0.0,1.0
2005-09-28,24.54,24.61,24.07,24.24,3.46285368,636900,0.0,1.0
2005-09-27,24.99,25.04,24.3,24.3,3.4714251,1595400,0.0,1.0
2005-09-26,24.12,24.18,23.45,23.97,3.42428229,1004600,0.0,1.0
2005-09-23,23.66,24.42,23.09,24.17,3.45285369,863400,0.0,1.0
2005-09-22,22.6,23.75,22.5,23.62,3.37428234,647700,0.0,1.0
2005-09-21,23.2,23.44,22.53,22.67,3.23856819,794700,0.0,1.0
2005-09-20,23.32,23.92,22.94,23.18,3.31142526,855300,0.0,1.0
2005-09-19,24.35,24.37,23.0,23.27,3.32428239,1242200,0.0,1.0
2005-09-16,23.52,24.26,23.47,24.2,3.4571394,942400,0.0,1.0
2005-09-15,23.68,23.93,23.15,23.42,3.34571094,1017300,0.0,1.0
2005-09-14,24.4,24.46,23.57,23.67,3.38142519,1311800,0.0,1.0
2005-09-13,25.31,25.4,24.3,24.37,3.48142509,1299900,0.0,1.0
2005-09-12,25.18,25.48,24.52,25.21,3.60142497,1289400,0.0,1.0
2005-09-09,24.32,25.05,24.101,24.97,3.56713929,1940900,0.0,1.0
2005-09-08,22.66,24.36,22.51,24.09,3.44142513,3110100,0.0,1.0
2005-09-07,22.75,22.98,22.43,22.59,3.22713963,1162300,0.0,1.0
2005-09-06,21.54,22.92,21.45,22.76,3.25142532,1136700,0.0,1.0
2005-09-02,21.89,21.91,21.25,21.54,3.07713978,641400,0.0,1.0
2005-09-01,21.56,21.75,21.41,21.45,3.06428265,701500,0.0,1.0
2005-08-31,21.46,21.64,21.1,21.56,3.07999692,758300,0.0,1.0
2005-08-30,21.92,21.94,21.22,21.4,3.0571398,623600,0.0,1.0
2005-08-29,21.05,21.98,21.0,21.94,3.13428258,764100,0.0,1.0
2005-08-26,20.93,21.45,20.91,21.19,3.02713983,543000,0.0,1.0
2005-08-25,21.06,21.45,21.03,21.06,3.00856842,284200,0.0,1.0
2005-08-24,20.95,21.71,20.86,21.04,3.00571128,757400,0.0,1.0
2005-08-23,21.36,21.5,20.64,21.1,3.0142827,541900,0.0,1.0
2005-08-22,21.49,21.79,21.15,21.45,3.06428265,594900,0.0,1.0
2005-08-19,21.41,21.52,21.0,21.38,3.05428266,763900,0.0,1.0
2005-08-18,21.79,21.8,20.9,21.41,3.05856837,1092700,0.0,1.0
2005-08-17,22.3,22.54,21.83,21.89,3.12713973,713900,0.0,1.0
2005-08-16,22.04,22.74,21.91,22.24,3.17713968,1597800,0.0,1.0
2005-08-15,21.87,22.46,21.85,21.97,3.13856829,1134400,0.0,1.0
2005-08-12,20.75,22.5082,20.74,22.1,3.1571397,2109200,0.0,1.0
2005-08-11,20.9,21.18,20.45,21.0,2.999997,897500,0.0,1.0
2005-08-10,21.36,21.75,20.63,20.87,2.98142559,1459600,0.0,1.0
2005-08-09,22.1,22.55,21.26,21.34,3.04856838,4653700,0.0,1.0
2005-08-08,21.11,21.92,21.02,21.76,3.10856832,2268100,0.0,1.0
2005-08-05,20.65,21.05,20.54,20.97,2.99571129,1148100,0.0,1.0
2005-08-04,21.0,21.37,20.53,20.64,2.94856848,1976800,0.0,1.0
2005-08-03,19.57,21.17,19.57,20.89,2.98428273,3340400,0.0,1.0
2005-08-02,19.4,19.94,19.14,19.57,2.79571149,2516400,0.0,1.0
2005-08-01,18.56,19.34,18.25,19.34,2.76285438,3211700,0.0,1.0
2005-07-29,19.04,19.23,18.54,18.56,2.65142592,990000,0.0,1.0
2005-07-28,19.6,19.62,18.74,18.91,2.70142587,1601700,0.0,1.0
2005-07-27,18.96,19.58,18.72,19.52,2.78856864,1940700,0.0,1.0
2005-07-26,20.02,20.8,19.0,19.01,2.71571157,11821000,0.0,1.0
2005-07-25,16.4,17.58,16.4,16.96,2.42285472,5226800,0.0,1.0
2005-07-22,16.75,16.95,16.25,16.4,2.3428548,612000,0.0,1.0
2005-07-21,16.89,17.01,16.55,16.65,2.37856905,559500,0.0,1.0
2005-07-20,16.21,16.99,16.2,16.89,2.41285473,632900,0.0,1.0
2005-07-19,16.34,16.49,16.17,16.39,2.34142623,557000,0.0,1.0
2005-07-18,16.07,16.49,16.06,16.28,2.32571196,661200,0.0,1.0
2005-07-15,16.43,16.58,16.0,16.4,2.3428548,707500,0.0,1.0
2005-07-14,16.59,16.7,16.24,16.5,2.3571405,795300,0.0,1.0
2005-07-13,16.95,16.95,16.37,16.53,2.36142621,476000,0.0,1.0
2005-07-12,17.2,17.2,16.73,16.85,2.40714045,568900,0.0,1.0
2005-07-11,16.81,17.5,16.81,17.21,2.45856897,1118000,0.0,1.0
2005-07-08,17.0,17.02,16.65,16.71,2.38714047,676200,0.0,1.0
2005-07-07,16.41,17.26,16.24,16.93,2.41856901,892700,0.0,1.0
2005-07-06,16.38,17.04,16.25,16.73,2.38999761,784800,0.0,1.0
2005-07-05,16.36,16.54,16.07,16.44,2.34856908,540100,0.0,1.0
2005-07-01,16.4,16.68,16.35,16.55,2.36428335,291500,0.0,1.0
2005-06-30,16.31,16.68,16.27,16.41,2.34428337,669200,0.0,1.0
2005-06-29,16.1,16.58,16.02,16.34,2.33428338,577500,0.0,1.0
2005-06-28,16.31,16.59,15.95,16.08,2.29714056,884100,0.0,1.0
2005-06-27,15.85,16.46,15.65,15.99,2.28428343,1985900,0.0,1.0
2005-06-24,16.0,16.08,14.75,15.77,2.25285489,2386700,0.0,1.0
2005-06-23,16.47,16.69,15.99,16.05,2.29285485,711600,0.0,1.0
2005-06-22,16.29,16.9,16.18,16.52,2.35999764,976500,0.0,1.0
2005-06-21,17.08,17.33,16.5,16.66,2.37999762,530200,0.0,1.0
2005-06-20,17.0,17.22,16.8,17.19,2.45571183,608100,0.0,1.0
2005-06-17,17.65,17.79,17.1001,17.22,2.45999754,1013200,0.0,1.0
2005-06-16,17.2,17.84,17.1,17.63,2.51856891,2178800,0.0,1.0
2005-06-15,16.98,17.17,16.72,17.15,2.44999755,734900,0.0,1.0
2005-06-14,16.51,17.06,16.4,17.0,2.428569,700600,0.0,1.0
2005-06-13,16.7,17.35,16.2,16.66,2.37999762,1917500,0.0,1.0
2005-06-10,15.65,17.09,15.5,16.91,2.41571187,2807400,0.0,1.0
2005-06-09,15.05,15.67,14.65,15.65,2.23571205,1149000,0.0,1.0
2005-06-08,15.06,15.15,14.75,14.86,2.12285502,528800,0.0,1.0
2005-06-07,15.3,15.68,14.9,15.0,2.142855,1093900,0.0,1.0
2005-06-06,14.55,15.3,14.4,15.22,2.17428354,925300,0.0,1.0
2005-06-03,15.05,15.14,14.55,14.67,2.09571219,997300,0.0,1.0
2005-06-02,14.43,15.05,14.38,14.88,2.12571216,1238100,0.0,1.0
2005-06-01,14.2,14.73,14.2,14.5,2.0714265,607200,0.0,1.0
2005-05-31,14.54,14.64,13.97,14.29,2.04142653,771700,0.0,1.0
2005-05-27,14.71,14.89,14.49,14.55,2.07856935,622700,0.0,1.0
2005-05-26,14.65,14.65,14.26,14.64,2.09142648,882800,0.0,1.0
2005-05-25,14.35,14.83,14.15,14.54,2.07714078,1720500,0.0,1.0
2005-05-24,15.41,15.49,14.349,14.44,2.06285508,3038200,0.0,1.0
2005-05-23,15.79,16.03,15.37,15.55,2.22142635,1902600,0.0,1.0
2005-05-20,16.06,16.25,15.45,15.93,2.27571201,3058400,0.0,1.0
2005-05-19,18.92,19.27,15.83,16.13,2.30428341,21382800,0.0,1.0
2005-05-18,14.46,15.66,14.31,15.5,2.2142835,2334300,0.0,1.0
2005-05-17,14.695,14.7,13.65,14.48,2.06856936,2341700,0.0,1.0
2005-05-16,14.48,15.02,14.31,14.85,2.12142645,3002100,0.0,1.0
2005-05-13,13.69,14.6,13.61,14.28,2.03999796,3280600,0.0,1.0
2005-05-12,13.0,14.39,12.48,13.83,1.97571231,6410900,0.0,1.0
2005-05-11,11.55,13.01,11.54,12.95,1.84999815,3777500,0.0,1.0
2005-05-10,11.52,11.69,11.52,11.58,1.65428406,605200,0.0,1.0
2005-05-09,11.5,11.75,11.45,11.61,1.65856977,322900,0.0,1.0
2005-05-06,11.45,11.6,11.4,11.57,1.65285549,409200,0.0,1.0
2005-05-05,11.54,12.0,11.33,11.44,1.63428408,957800,0.0,1.0
2005-05-04,11.62,11.89,11.4,11.6,1.6571412,815100,0.0,1.0
2005-05-03,11.45,11.69,11.45,11.54,1.64856978,459700,0.0,1.0
2005-05-02,11.53,11.64,11.32,11.57,1.65285549,431400,0.0,1.0
2005-04-29,11.57,11.74,11.45,11.55,1.64999835,643600,0.0,1.0
2005-04-28,11.31,11.58,11.27,11.51,1.64428407,457200,0.0,1.0
2005-04-27,11.27,11.7,11.27,11.5,1.6428555,617000,0.0,1.0
2005-04-26,11.45,11.54,11.29,11.3,1.6142841,603000,0.0,1.0
2005-04-25,11.3,11.5,11.1,11.5,1.6428555,1207800,0.0,1.0
2005-04-22,11.36,11.43,11.03,11.2,1.5999984,2427600,0.0,1.0
2005-04-21,11.75,12.22,11.5,12.05,1.72142685,2430400,0.0,1.0
2005-04-20,11.6,11.65,11.15,11.45,1.63571265,787600,0.0,1.0
2005-04-19,11.39,11.67,11.04,11.62,1.65999834,661400,0.0,1.0
2005-04-18,11.79,11.89,10.88,11.33,1.61856981,949700,0.0,1.0
2005-04-15,12.58,13.0,11.55,11.69,1.66999833,2095800,0.0,1.0
2005-04-14,12.23,12.23,11.78,11.98,1.71142686,876800,0.0,1.0
2005-04-13,11.73,12.35,11.7,12.11,1.72999827,1364900,0.0,1.0
2005-04-12,11.71,11.9,11.63,11.67,1.66714119,592400,0.0,1.0
2005-04-11,12.04,12.04,11.5,11.89,1.69856973,1072600,0.0,1.0
2005-04-08,11.38,12.17,11.38,12.01,1.71571257,3469300,0.0,1.0
2005-04-07,11.04,11.37,10.931,11.24,1.60571268,1068200,0.0,1.0
2005-04-06,10.93,11.2,10.8,11.1,1.5857127,1294100,0.0,1.0
2005-04-05,10.52,10.92,10.51,10.82,1.54571274,659100,0.0,1.0
